fā             [fa]           "láb; lép"
thəhel         [thá sáili]    "sehol; soha"
thuhann        [thu qhan]     "erdei vadász"
ngann          [ñà na]        "elszakad; eltép; elharap"
qhar           [qhái ru]      "lejtő, domboldal"
nyòdh          [nó thà]       "eunuch"
ngàdh          [ñà thà]       "eunuch"
syīyay         [si ya ya]     "beszélgetés"
mih            [wi éa su]     "ág"
nərəhua        [nura qhua]    "bánat"
syang          [sù ña]        "nyál"
nyang          [ná ñi]        "szeret"
myāng          [màa ñi]       "nyugalom, béke"
myaolā         [myào lā]      "Myǎla istennő"
lẏwíe          [luwíi]        "folyó"
mwēqhō         [muéa xu]      "antróp"
ngithū         [ñiéa thu]     "gyümölcs"
thəhəlehaingghanû[thásáilixáiñganū]"sehol-hegyek"
lānào          [la nào]       "megért"
mayào          [màu yào]      "ember (Felis cattus)"
ghanào         [gàù nào]      "érez"
nānào          [na nào]       "megért"
nēmáiō         [ni máiū]      "egyszerre született testvérek, alom"
mūyô           [mu yó]        "öregember"
umm            [umma]         "öregasszony < Šum umma"
aha            [aséa]         "öreg"
fīenaqh        [fìenaxa]      "zsákmány"
syīyaū         [si yaū]       "hagyomány, mondások"
syınào         [si nào]       "rajz"
syınàa         [si nàa]       "furcsa, különös, jellegzetes"
syīsyā         [si sā]        "ír"
syīsyagh       [si saxu]      "írnok"
osyy̌           [ù sỳ]         "hal"
zyūái          [su ái]        "nyál"
wəhair         [wasáira]      "Osiris"
righ           [riga]         "Ra"
anəfào         [anafào]       "Anubis"
nafy̌           [nào fỳ]       "isten"
hōsyânn        [húo sán]      "sarkcsillag, vezércsillag"
nīnnhōsyân     [nin húo sán]  "Ninxursañ"
thagh          [thaqhu]       "sün"
