fa             [fa]           "láb; lép"
qhu            [xu]           "egér"
ghào           [xà]           "ki? mi?"
hái            [xá]           "fej"
hán            [xán]          "homlok"
ghỳ            [xì]           "fut"
hé             [xí]           "ti"
ghàu           [xù]           "szag"
ghùn           [xùn]          "nyom"
qhǔ            [xùu]          "út"
húo            [xú]           "farok"
húthá          [xúthá]        "mögött"
la             [ra]           "ugrik"
li             [ri]           "*éjszaka"
lin            [rin]          "éjszaka"
lu             [ru]           "*gödör"
lua            [rua]          "fekete"
luia           [ruia]         "mély, sötét"
lung           [rung]         "mély"
lun            [run]          "gödör"
rào            [rà]           "szexel"
rǎ             [ràa]          "szex"
rái            [rá]           "dolog, tárgy"
ryêa           [ráa]          "föld, talaj"
réi            [rái]          "kő"
ryỳ            [rì]           "kígyó"
ryìng          [rìng]         "gonosz, ijesztő"
ryé            [rí]           "hús"
rǔ             [rù]           "száj"
rúo            [rú]           "bél"
sa             [sa]           "fúj; harag"
si             [si]           "bajusz"
sei            [sii]          "lát"
sia            [sia]          "megjelenik"
su             [su]           "levél"
sua            [sua]          "gyógynövény"
sū             [suu]          "nő"
sà             [sà]           "veréb; lélek"
sái            [sá]           "nappal"
sêa            [sáa]          "fény"
sán            [sán]          "csillag"
sỳ             [sì]           "hideg"
sìu            [sìu]          "kevés, szűkös"
sìa            [sìa]          "hideg, halott"
sé             [sí]           "fél"
séi            [síi]          "félelem"
sàu            [sù]           "pisil"
súo            [sú]           "szopik"
tha            [tha]          "karom"
thi            [thi]          "fióka"
thu            [thu]          "fa"
thà            [thà]          "mászik"
thái           [thá]          "nincs"
thỳ            [thì]          "hol?"
thé            [thí]          "orr"
thàu           [thù]          "nem"
thúo           [thú]          "test"
thúa           [thúa]
ma             [wa]           "pocok"
mi             [wi]           "csont"
u              [wu]           "van"
ufya           [wufa]         "áll"
mào            [wà]           "megy"
mái            [wá]           "hall; fül"
wé             [wé]           "iszik"
mỳ             [wì]           "rigó"
wé             [wí]           "víz"
ù              [wù]           "hal"
úo             [wú]           "fog"
ya             [ya]           "mond"
yoa            [yaa]          "beszél"
yi             [yi]           "szem"
yu             [yu]           "kacsa"
yuan           [yuan]         "lúd"
yào            [yà]           "tüzelő nő"
yái            [yá]           "nyúl"
yỳ             [yì]           "*gyerek"
yìan           [yìan]         "gyerek"
yìn            [yìn]          "kamasz gyerek"
yìu            [yìu]          "kicsi"
yé             [yí]           "vonul, megy valahova"
yéa            [yía]          "fehér"
yàu            [yù]           "vér"
yó             [yú]           "*férfi"
               []
íào            [ngí yà]       "én"
myà            [mù yà]        "ő G1f"
mòyó           [mù yú]        "ő G1m"
myỳ            [mù yì]        "ő G2"
muyàna         [mu yà na]     "ők"
naghà          [na ñà]        "nyak"
éméng          [ñímíñ]        "jóllakott, elégedett"
àong           [ñàñ]          "nyitott száj"
qhan           [xan]          "vadász, ember"
nimái          [ni má]        "szülőhely, fészek"
nàmà           [nà wà]        "elmúlik;múlt"
fìla           [fìra]         "küld"
ghila          [ñira]         "forog"
áina           [ñá na]        "tiszta"
áinga          [ñá ña]        "mosakszik"
wèo            [wàu]          "válni, lenni"
mùa            [mùa]
nèo            [nuà]          "észrevevés, látás"
yèo            [yuà]          "tekintet, nézés"
yéào           [yíà]          "Hold"
màe            [wài]          "forrás, kút, ér"
sáili          [sá li]        "idő"
sáinyé         [sá ní]        "hajnal"
míǎ            [mí yàa]       "nő"
faala          [faa ra]       "láb"
fyáila         [fá ra]        "hegy, csúcs"
lurái          [ru rá]        "padló"
famà           [fawà]
mfamà          [mù fawà]
mufamà         [mu fawà]
yifamà         [yi fawà]
nafamà         [na fawà]
ráifamà        [rá fawà]
ghusỳ          [ñusì]         "te (desp.)"
ghasá          [ñasá]         "tűz"
séa            [sía]          "öreg, régi, hatalmas"
alaqhu         [araxu]        "legfeljebb"
alayà          [arayà]
alayó          [arayú]
wúomù          [fú mù]        "ütközik"
qhìela         [xìi ra]       "gyorsan fut"
saghà          [sa ñà]        "zombi"
naqha          [naxa]         "halandó; zsákmányállat"
mêathu         [máa tu]       "rend, közösség, igazság"
faatha         [faa ta]       "fordulat, visszavágás, csapás; érv"
hòào           [xúà]          "utolsó, végső"
liào           [rià]          "hajnal"
hía            [xí ya]        "érdekes dolog"
qhùi           [xùi]          "szó"
rúa            [rúa]          "húst rág"
éi             [yái]          "el; mindjárt"
nirúo          [ni rú]        "barlang, terem, üreg"
amyǎqha        [amyǎxa]       "jobban"
màmàm          [wàwàm]
le             [le]           "te"
yèo            [yàu]
fàma           [fàwa]
fàmí           [fàwí]
fàù            [fàwù]
fàmaqhu        [fàwaxu]
fàmáng         [fàwáñ]
fàmàng         [fàwàñ]
ngàfàm         [ñàfàm]
lefàm          [lefàm]
myàr           [myàr]
nginèo         [ñi nèo]       "álom"
ngíéafàmà      [ñí éa fàwà]
ngífàmà        [ñí fàwà]
éalefàmà       [éa le fàwà]
aiyùng         [ai yùñ]       "legalább"
qháinghan      [xáin gan]     "hegycsúcs"
afàmū          [afàmū]        "gond, jövés-menés"
alaqhù         [alaxù]        "legfeljebb"
mutha          [mu tha]       "sólyom"
nufyáila       [nu fyáila]    "tökéletesség"
nusáili        [nu sáili]     "félidő"
ngiuna         [ñiu na]       "alvó ember"
qhuana         [qhua na]      "osztályrész, juss"
sêathà         [sêathà]       "avatár"
fyérúa         [fyé rúa]      "ház"
thásáili       [thá sáili]    "sehol; soha"
thuqhan        [thu qhan]     "erdei vadász"
thuqhú         [thuxú]        "rúd, farönk, oszlop"
màiqhú         [wàixú]        "patak"
ngàona         [ñà na]        "elszakad; eltép; elharap"
ngangi         [ña ñi]        "nyújtózkodik, tornázik"
qháiru         [qhái ru]      "lejtő, domboldal"
nyóthà         [nó thà]       "eunuch"
ngàothà        [ñà thà]       "eunuch"
siyaya         [si ya ya]     "beszélgetés"
miéasu         [wi éa su]     "ág"
nuraqhua       [nura qhua]    "bánat"
sàunga         [sù ña]        "nyál"
nyángi         [ná ñi]        "szeret"
myǎngi         [màa ñi]       "nyugalom, béke"
sáilira        [sáili ra]     "ott, az a hely"
fiirá          [fyiirá]       "puha fekvőhely"
ryá            [ráyá]         "szürke"
qhighào        [xi gà]        "leereszt, leenged"
qhitha         [xi ta]        "lemászik"
yò             [yò]           "kicsi"
ráyò           [rá yò]        "bogár, rovar, kavics"
ghàola         [gà la]        "bolha; bosszant, idegesít"
fìesa          [fyìi sa]      "bátorság, mersz"
nyán           [nán]          "kérés, kérlelés"
