fā             [fa]           "láb; lép"
nẏel           [nu sáili]     "félidő"
nginn          [ñiu na]       "alvó ember"
huann          [qhua na]      "osztályrész, juss"
zyěadh         [sêathà]       "avatár"
fyərúa         [fyé rúa]      "ház"
thel           [thá sáili]    "sehol; soha"
dhuann         [thu qhan]     "erdei vadász"
dhôgh          [thuxú]        "rúd, farönk, oszlop"
mâeqh          [wàixú]        "patak"
ngann          [ñà na]        "elszakad; eltép; elharap"
nang           [ña ñi]        "nyújtózkodik, tornázik"
qhar           [qhái ru]      "lejtő, domboldal"
nyǒdh          [nó thà]       "eunuch"
ngǎdh          [ñà thà]       "eunuch"
syīay          [si ya ya]     "beszélgetés"
mih            [wi éa su]     "ág"
nnrəhua        [nura qhua]    "bánat"
syang          [sù ña]        "nyál"
nyang          [ná ñi]        "szeret"
myāng          [màa ñi]       "nyugalom, béke"
zyılīr         [sáili ra]     "ott, az a hely"
fér            [fyiirá]       "puha fekvőhely"
ryâ            [ráyá]         "szürke"
hıghào         [xi gà]        "leereszt, leenged"
qhīdh          [xi ta]        "lemászik"
yǒ             [yò]           "kicsi"
ày             [rá yò]        "bogár, rovar, kavics"
ghar           [gà la]        "bolha; bosszant, idegesít"
fiəh           [fyìi sa]      "bátorság, mersz"
nyânn          [nán]          "kérés, kérlelés"
fî             [fìeî]         "akarom"
zyaî           [saî]          "merem"
zyî            [séî]          "félek, nem merek"
nyáyê          [nyáiî]        "szeretném, kérem"
myǎla          [myào lā]      "Myǎla istennő"
myāol          [myàosáili]    "jó idő"
namànn         [nàmàn]        "emlék"
lwoye          [luwíi]        "folyó"
mmwēho         [muéa xu]      "antróp"
ngidhū         [ñiéa thu]     "gyümölcs"
thəréngghanû   [thásáilixáiñganū]"sehol-hegyek"
lǎnao          [la nào]       "megért"
mayào          [màu yào]      "ember (Felis cattus)"
ghanào         [gàù nào]      "érez"
nǎnao          [na nào]       "megért"
nêmayo         [ni máiū]      "egyszerre született testvérek, alom"
mwiō           [mu yó]        "öregember"
umm            [umma]         "öregasszony < Šum umma"
aə             [aséa]         "öreg"
fiənnaqh       [fìenaxa]      "zsákmány"
syiao          [si yaū]       "hagyomány, mondások"
zyınào         [si nào]       "rajz"
zyınǎ          [si nàa]       "furcsa, különös, jellegzetes"
zyīsya         [si sā]        "ír"
zyīsyagh       [si saxu]      "írnok"
lyā            [lalā]         "rajta"
òsyy̌           [ù sỳ]         "hal"
huiō           [qhú yò]       "üreg (embernél kisebb)"
zyūái          [su ái]        "nyál"
wair           [wasáira]      "Osiris"
rīgh           [riga]         "Ra"
anəwào         [anafào]       "Anubis"
nàofy̌          [nào fỳ]       "isten"
hôsyānn        [húo sán]      "sarkcsillag, vezércsillag"
nīnnhôsyān     [nin húo sán]  "Ninxursañ"
thāgh          [thaxu]        "sün"
ẏhái           [xuhái]        "hajlékonyság, mozgékonyság, karcsúság; befér, átfér, benyomakodik"
nennang        [néi ñañi]     "tágas, kényelmes"
nırōfyé        [nirúo fyé]    "szoba"
fesyā          [fei sā]       "szellő"
zyıgh          [sixi]         "szétterül, szétborul"
fyiimmū        [fyiéa mu]     "ruha"
fyəmwərâ       [fyiéamu fiirâ]"selyem"
syanagh        [sàéa naqha]   "áldozat"
syaēnha        [saéa ya naqhā]"áldozó pap"
ryamāeqh       [ryá màiqhú]   "szürke patak"
fyeàm          [fìefàm]       "küldönc, futár"
nyé méi        [ńé méi]       "föld, ország"
zyıēàqh        [zyıyayàx]     "slam, összejövetel"
nóiqh          [nyóix]        "teremtő"
asyéa          [aśéa]         "öreg"
mmwēzyiao      [mwēśiyaū]     "boszorkány < sámán"
qhiosyy̌        [xiosyy̌]       "hó"
fawā           [fāfā]         "lépked"
āmàe           [ahamàe]       "folyó"
